index,url,filename,status,size_bytes,error
38,https://www.war.gov/medialink/ufo/release_1/dow-uap-d18-mission-report-iraq-december-2022.pdf,dow-uap-d18-mission-report-iraq-december-2022.pdf,downloaded,3673697,
39,https://www.war.gov/medialink/ufo/release_1/dow-uap-d19-mission-report-syria-february-21-2023.pdf,dow-uap-d19-mission-report-syria-february-21-2023.pdf,downloaded,5885305,
40,https://www.war.gov/medialink/ufo/release_1/dow-uap-d20-mission-report-southern-united-states-2023.pdf,dow-uap-d20-mission-report-southern-united-states-2023.pdf,downloaded,3698245,
41,https://www.war.gov/medialink/ufo/release_1/dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf,dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf,downloaded,1324277,
42,https://www.war.gov/medialink/ufo/release_1/dow-uap-d25-mission-report-greece-january-2024.pdf,dow-uap-d25-mission-report-greece-january-2024.pdf,downloaded,680054,
43,https://www.war.gov/medialink/ufo/release_1/dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf,dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf,downloaded,689226,
44,https://www.war.gov/medialink/ufo/release_1/dow-uap-d28-mission-report-east-china-sea-2024.pdf,dow-uap-d28-mission-report-east-china-sea-2024.pdf,downloaded,633172,
45,https://www.war.gov/medialink/ufo/release_1/dow-uap-d3-mission-report-arabian-gulf-2020.pdf,dow-uap-d3-mission-report-arabian-gulf-2020.pdf,downloaded,101111,
46,"https://www.war.gov/medialink/ufo/release_1/dow-uap-d32-mission-report,-syria-october-2024.pdf","dow-uap-d32-mission-report,-syria-october-2024.pdf",downloaded,651740,
47,https://www.war.gov/medialink/ufo/release_1/dow-uap-d33-mission-report-greece-october-2023.pdf,dow-uap-d33-mission-report-greece-october-2023.pdf,downloaded,897434,
48,https://www.war.gov/medialink/ufo/release_1/dow-uap-d35-mission-report-greece-october-2023.pdf,dow-uap-d35-mission-report-greece-october-2023.pdf,downloaded,1415369,
49,https://www.war.gov/medialink/ufo/release_1/dow-uap-d38-range-fouler-debrief-middle-east-may-2020.pdf,dow-uap-d38-range-fouler-debrief-middle-east-may-2020.pdf,downloaded,342668,
50,https://www.war.gov/medialink/ufo/release_1/dow-uap-d4-mission-report-arabian-gulf-2020.pdf,dow-uap-d4-mission-report-arabian-gulf-2020.pdf,downloaded,29121,
51,https://www.war.gov/medialink/ufo/release_1/dow-uap-d42-range-fouler-debrief-japan-2023.pdf,dow-uap-d42-range-fouler-debrief-japan-2023.pdf,downloaded,295621,
52,https://www.war.gov/medialink/ufo/release_1/dow-uap-d44-range-fouler-arabian-sea-october-2020.pdf,dow-uap-d44-range-fouler-arabian-sea-october-2020.pdf,downloaded,297873,
53,https://www.war.gov/medialink/ufo/release_1/dow-uap-d48-report-september-1996.pdf,dow-uap-d48-report-september-1996.pdf,downloaded,22495083,
54,https://www.war.gov/medialink/ufo/release_1/dow-uap-d49-launch-summary-february-2000.pdf,dow-uap-d49-launch-summary-february-2000.pdf,downloaded,9090715,
55,https://www.war.gov/medialink/ufo/release_1/dow-uap-d5-mission-report-arabian-gulf-2020.pdf,dow-uap-d5-mission-report-arabian-gulf-2020.pdf,downloaded,30588,
56,https://www.war.gov/medialink/ufo/release_1/dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,downloaded,312451,
57,https://www.war.gov/medialink/ufo/release_1/dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,downloaded,76470,
58,https://www.war.gov/medialink/ufo/release_1/dow-uap-d52-email-correspondance-na-august-2024.pdf,dow-uap-d52-email-correspondance-na-august-2024.pdf,downloaded,66874,
59,https://www.war.gov/medialink/ufo/release_1/dow-uap-d54-mission-report-mediterranean-sea-na.pdf,dow-uap-d54-mission-report-mediterranean-sea-na.pdf,downloaded,20095,
60,https://www.war.gov/medialink/ufo/release_1/dow-uap-d55-mission-report-syria-november-2016.pdf,dow-uap-d55-mission-report-syria-november-2016.pdf,downloaded,207227,
61,https://www.war.gov/medialink/ufo/release_1/dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,downloaded,1849972,
62,https://www.war.gov/medialink/ufo/release_1/dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf,dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf,downloaded,295447,
63,https://www.war.gov/medialink/ufo/release_1/dow-uap-d58-range-fouler-debrief-na-october-2020.pdf,dow-uap-d58-range-fouler-debrief-na-october-2020.pdf,downloaded,301419,
64,https://www.war.gov/medialink/ufo/release_1/dow-uap-d6-mission-report-arabian-gulf-2020.pdf,dow-uap-d6-mission-report-arabian-gulf-2020.pdf,downloaded,26847,
